"county","period","Deficiency","Cases"
"Baringo","2023-01-01","total_dewormed",3659
"Baringo","2023-01-01","underweight_child",1555
"Baringo","2023-01-01","acute_malnutrition",8
"Baringo","2023-01-01","diarrhoea_cases",2620
"Baringo","2023-01-01","stunted_child",885
"Baringo","2023-01-29","total_dewormed",5237
"Baringo","2023-01-29","underweight_child",1739
"Baringo","2023-01-29","acute_malnutrition",10
"Baringo","2023-01-29","diarrhoea_cases",2937
"Baringo","2023-01-29","stunted_child",1281
"Baringo","2023-02-26","total_dewormed",5113
"Baringo","2023-02-26","underweight_child",2859
"Baringo","2023-02-26","acute_malnutrition",48
"Baringo","2023-02-26","diarrhoea_cases",3023
"Baringo","2023-02-26","stunted_child",2080
"Baringo","2023-03-26","total_dewormed",4865
"Baringo","2023-03-26","underweight_child",2318
"Baringo","2023-03-26","acute_malnutrition",3
"Baringo","2023-03-26","diarrhoea_cases",2493
"Baringo","2023-03-26","stunted_child",885
"Baringo","2023-04-30","total_dewormed",45643
"Baringo","2023-04-30","underweight_child",2440
"Baringo","2023-04-30","acute_malnutrition",2
"Baringo","2023-04-30","diarrhoea_cases",2907
"Baringo","2023-04-30","stunted_child",1632
"Baringo","2023-05-28","total_dewormed",10808
"Baringo","2023-05-28","underweight_child",2723
"Baringo","2023-05-28","acute_malnutrition",19
"Baringo","2023-05-28","diarrhoea_cases",2403
"Baringo","2023-05-28","stunted_child",1418
"Baringo","2021-12-26","total_dewormed",5739
"Baringo","2021-12-26","underweight_child",611
"Baringo","2021-12-26","acute_malnutrition",3
"Baringo","2021-12-26","diarrhoea_cases",2625
"Baringo","2021-12-26","stunted_child",151
"Baringo","2022-01-30","total_dewormed",4146
"Baringo","2022-01-30","underweight_child",723
"Baringo","2022-01-30","acute_malnutrition",7
"Baringo","2022-01-30","diarrhoea_cases",2473
"Baringo","2022-01-30","stunted_child",315
"Baringo","2022-02-27","total_dewormed",3700
"Baringo","2022-02-27","underweight_child",1404
"Baringo","2022-02-27","acute_malnutrition",13
"Baringo","2022-02-27","diarrhoea_cases",2781
"Baringo","2022-02-27","stunted_child",338
"Baringo","2022-03-27","total_dewormed",3938
"Baringo","2022-03-27","underweight_child",936.3
"Baringo","2022-03-27","acute_malnutrition",3
"Baringo","2022-03-27","diarrhoea_cases",2822
"Baringo","2022-03-27","stunted_child",496
"Baringo","2022-05-01","total_dewormed",8038
"Baringo","2022-05-01","underweight_child",867
"Baringo","2022-05-01","acute_malnutrition",9
"Baringo","2022-05-01","diarrhoea_cases",2947
"Baringo","2022-05-01","stunted_child",580
"Baringo","2022-05-29","total_dewormed",48516
